Date;Abf. Stoffe [mg/l];Al filt. [µg/l];NH3-N [µg/l];NH4-N [mg/l];BSB5 (EN1899, ohne ATH) [mg/l];Ca filt. [mg/l];Chlorid [mg/l];Fe filt. [mg/l];LF (20 °C) vor Ort [µS/cm];DOC [mg/l];K filt. [mg/l];Mg filt. [mg/l];Mn filt. [mg/l];Na filt. [mg/l];NO3 [mg/l];NO3-N [mg/l];NO2-N [mg/l];pH-Wert (vor Ort) [-];o-PO4-P [mg/l];P-ges. [mg/l];P-ges. filt. [mg/l];O2-gelöst [mg/l];SO4 [mg/l];KS 4,3 [mmol/l];TOC [mg/l];Wassertemp.(vor Ort) [°C]
1982-01-15;;;;0.065;1.6;;10.0;;292.0;;;;;;;0.745;;7.85;0.04;0.11;;11.5;27.0;;2.15;1.5
1982-02-15;;;;0.07;2.6;;13.0;;300.0;;;;;;;1.02;;7.85;0.04;0.11;;8.9;27.0;;2.65;2.65
1982-03-15;;;;0.06;2.6;;13.333;;338.0;;;;;;;0.82;;8.1;0.042;0.159;;11.533;;;2.4;4.133
1982-04-15;;;;0.055;1.5;;9.0;;255.0;;;;;;;0.785;;7.7;0.04;0.065;;10.3;;;1.75;5.15
1982-05-15;;;;0.025;0.75;;6.0;;187.0;;;;;;;0.46;;7.85;0.024;0.092;;10.4;;;1.6;7.0
1982-06-15;;;;0.055;2.4;;4.0;;172.0;;;;;;;0.27;;8.2;0.032;0.095;;11.15;;;2.85;9.4
1982-07-15;;;;0.115;1.05;;10.5;;268.5;;;;;;;0.515;;7.6;0.077;0.1;;10.05;;;1.7;12.75
1982-08-15;;;;0.07;2.15;;8.0;;264.0;;;;;;;0.465;;7.95;0.03;0.112;;9.1;;;3.25;12.65
1982-09-15;;;;0.08;1.967;;7.667;;301.333;;;;;;;0.507;;8.4;0.094;0.124;;8.533;;;2.767;11.833
1982-10-15;;;;0.05;0.85;;8.5;;269.5;;;;;;;0.64;;7.45;0.066;0.162;;10.2;;;2.3;7.9
1982-11-15;;;;0.2;2.45;;10.0;;337.5;;;;;;;0.74;;8.3;0.109;0.159;;10.6;;;1.5;6.95
