Date,Abf._Stoffe_mg/l,NH4-N_mg/l,BSB5_(EN1899_ohne_ATH)_mg/l,Chlorid_mg/l,LF_(20_°C)_vor_Ort_µS/cm,NO3-N_mg/l,pH-Wert_(vor_Ort)_-,o-PO4-P_mg/l,P-ges._mg/l,O2-gelöst_mg/l,TOC_mg/l,Wassertemp.(vor_Ort)_°C
1982-01-15,,0.065,1.6,10.0,292.0,0.745,7.85,0.04,0.11,11.5,2.15,1.5
1982-02-15,,0.07,2.6,13.0,300.0,1.02,7.85,0.04,0.11,8.9,2.65,2.65
1982-03-15,,0.06,2.6,13.333,338.0,0.82,8.1,0.042,0.159,11.533,2.4,4.133
1982-04-15,,0.055,1.5,9.0,255.0,0.785,7.7,0.04,0.065,10.3,1.75,5.15
1982-05-15,,0.025,0.75,6.0,187.0,0.46,7.85,0.024,0.092,10.4,1.6,7.0
1982-06-15,,0.055,2.4,4.0,172.0,0.27,8.2,0.032,0.095,11.15,2.85,9.4
1982-07-15,,0.115,1.05,10.5,268.5,0.515,7.6,0.077,0.1,10.05,1.7,12.75
1982-08-15,,0.07,2.15,8.0,264.0,0.465,7.95,0.03,0.112,9.1,3.25,12.65
1982-09-15,,0.08,1.967,7.667,301.333,0.507,8.4,0.094,0.124,8.533,2.767,11.833
1982-10-15,,0.05,0.85,8.5,269.5,0.64,7.45,0.066,0.162,10.2,2.3,7.9
1982-11-15,,0.2,2.45,10.0,337.5,0.74,8.3,0.109,0.159,10.6,1.5,6.95
1982-12-15,,0.195,3.25,11.5,296.0,0.96,8.1,0.081,0.128,11.1,1.6,4.9
1983-01-15,3.7,0.305,3.0,17.5,310.0,1.0,8.35,0.098,0.168,11.7,4.4,3.65
1983-02-15,7.9,0.16,3.25,10.0,286.5,1.35,8.25,0.061,0.126,11.25,3.6,2.3
1983-03-15,3.8,0.127,2.667,11.667,281.667,0.783,7.933,0.065,0.144,11.433,2.567,4.267
1983-04-15,3.95,0.05,1.75,6.0,264.0,0.64,8.25,0.046,0.097,11.2,1.95,5.85
1983-05-15,43.3,0.035,1.5,5.0,235.5,0.595,8.2,0.054,0.114,11.3,2.1,6.85
1983-06-15,20.15,0.075,1.55,5.0,205.5,0.5,7.6,0.046,0.115,11.65,2.35,10.4
1983-07-15,47.75,0.11,1.1,6.5,226.0,0.545,7.8,0.069,0.111,9.5,4.45,14.45
1983-08-15,82.5,0.117,1.25,5.667,157.0,0.78,7.1,0.092,0.206,9.133,3.333,13.133
1983-09-15,35.0,0.145,1.95,11.0,279.5,0.615,7.45,0.077,0.102,9.1,1.95,10.4
1983-10-15,16.75,0.115,0.9,6.5,243.0,0.52,7.4,0.098,0.142,10.15,2.45,7.6
1983-11-15,64.85,0.295,1.8,17.5,376.0,0.69,7.1,0.142,0.244,11.6,1.6,4.2
1983-12-15,55.35,0.285,3.1,13.0,300.0,0.835,7.2,0.138,0.166,12.0,1.5,2.9
1984-01-15,37.133,0.287,1.6,17.667,336.667,0.943,7.533,0.088,0.158,11.667,2.1,2.767
1984-02-15,20.75,0.335,2.75,16.5,337.0,1.115,8.0,0.12,0.188,10.75,2.35,2.85
1984-03-15,27.1,0.225,1.25,20.0,365.5,0.8,7.7,0.099,0.136,12.2,5.3,3.5
1984-04-15,28.6,0.1,0.7,8.667,223.0,1.11,7.2,0.046,0.082,11.533,3.25,4.2
1984-05-15,64.1,0.09,1.1,5.5,196.5,0.505,7.3,0.052,0.083,11.4,,6.45
1984-06-15,65.1,0.045,2.0,5.0,182.0,0.54,7.6,0.07,0.086,10.7,1.55,8.95
1984-07-15,6.55,0.065,1.45,6.5,205.5,0.635,7.1,0.066,0.1,9.85,2.25,13.25
1984-08-15,25.35,0.165,1.8,6.5,283.5,0.835,7.05,0.09,0.126,9.95,2.2,12.3
1984-09-15,70.5,0.05,1.1,6.5,231.5,0.755,7.05,0.051,0.092,9.25,1.35,11.9
1984-10-15,8.067,0.08,0.65,9.0,276.667,0.51,7.6,0.089,0.168,11.067,2.133,8.6
1984-11-15,41.15,0.29,2.5,9.0,319.0,0.79,7.85,0.143,0.24,10.3,3.9,5.2
1984-12-15,25.4,0.14,1.9,11.0,278.0,0.47,7.3,0.117,0.204,8.6,1.7,4.7
1985-01-15,24.5,0.585,2.8,14.0,364.0,0.84,7.65,0.162,0.234,12.5,1.55,2.7
1985-02-15,30.85,0.5,1.95,15.5,338.5,0.745,7.75,0.098,0.147,10.65,4.1,2.8
1985-03-15,43.95,0.35,1.55,17.5,332.0,0.735,7.25,0.092,0.122,11.1,2.35,4.05
1985-04-15,84.5,0.195,2.1,6.5,203.5,0.65,7.15,0.021,0.042,10.45,4.1,5.4
1985-05-15,164.5,0.08,0.95,4.0,181.5,0.5,7.45,0.018,0.056,10.5,5.5,6.3
1985-06-15,91.0,0.095,3.4,5.0,202.5,0.355,7.35,0.036,0.106,10.65,1.75,9.6
1985-07-15,76.633,0.123,1.6,6.0,224.667,0.693,7.6,0.067,0.146,8.9,2.8,11.433
1985-08-15,37.75,0.055,1.0,6.0,202.5,0.665,7.25,0.03,0.064,9.65,1.35,12.3
1985-09-15,64.2,0.06,0.6,12.5,252.0,0.755,7.0,0.066,0.093,9.75,1.05,11.3
1985-10-15,41.05,0.135,0.9,14.0,292.0,1.095,6.9,0.098,0.16,12.1,1.75,9.0
1985-11-15,32.25,0.655,1.45,14.5,341.5,0.845,7.2,0.165,0.214,10.25,2.95,5.25
1985-12-15,29.35,0.22,1.8,8.0,289.5,0.68,7.8,0.078,0.102,11.2,1.9,4.65
1986-01-15,68.867,0.177,1.2,11.667,246.667,1.053,7.4,0.078,0.12,13.167,3.733,1.7
1986-02-15,31.45,0.675,1.1,18.5,326.5,0.865,7.3,0.144,0.188,10.65,1.8,0.3
1986-03-15,8.3,0.32,0.65,17.5,323.5,1.05,7.45,0.11,0.152,10.9,3.8,4.4
1986-04-15,80.5,0.095,1.6,6.5,184.5,0.885,7.15,0.03,0.06,10.8,5.55,5.55
1986-05-15,75.35,0.065,0.7,5.0,161.5,0.51,7.35,0.02,0.04,11.8,2.6,8.15
1986-06-15,47.9,0.115,1.2,5.5,226.5,0.56,7.35,0.042,0.076,9.55,3.4,8.55
1986-07-15,72.667,0.08,1.4,7.333,214.667,0.58,7.233,0.061,0.075,10.5,1.167,13.967
1986-08-15,296.75,0.085,0.6,6.5,200.5,0.785,7.1,0.049,0.206,10.5,4.65,11.8
1986-09-15,79.7,0.21,0.8,9.5,264.0,0.915,7.0,0.086,0.152,10.25,2.3,10.65
1986-10-15,76.25,0.25,1.1,9.0,236.5,0.895,7.35,0.098,0.158,9.65,4.9,10.3
1986-11-15,77.6,0.19,1.1,9.5,261.5,1.2,7.05,0.075,0.091,11.55,1.25,5.45
1986-12-15,57.25,0.25,2.35,17.0,320.0,0.745,7.35,0.154,0.197,12.25,2.15,2.85
1987-01-15,118.367,0.327,1.0,12.667,276.0,1.033,7.467,0.081,0.183,13.4,3.333,1.8
1987-02-15,70.15,0.395,0.95,15.0,283.5,0.99,7.2,0.056,0.096,12.55,2.55,3.55
1987-03-15,74.55,0.345,0.85,12.0,254.5,1.135,7.35,0.045,0.07,13.1,2.25,3.2
1987-04-15,35.65,0.105,1.05,4.0,226.5,0.805,7.3,0.024,0.055,12.6,1.95,5.4
1987-05-15,42.25,0.095,1.45,3.5,233.0,0.65,7.85,0.027,0.069,12.05,2.55,6.35
1987-06-15,52.2,0.08,0.7,2.5,166.0,0.55,7.65,0.024,0.078,12.15,5.15,7.5
1987-07-15,167.467,0.057,1.05,4.333,179.333,0.72,7.4,0.023,0.106,11.0,5.9,10.933
1987-08-15,57.3,0.075,1.0,6.5,210.0,0.635,7.25,0.026,0.06,11.1,1.75,11.25
1987-09-15,81.8,0.07,1.1,9.0,227.0,0.81,7.15,0.04,0.074,12.65,1.8,12.6
1987-10-15,77.0,0.145,0.8,10.0,265.5,0.995,7.2,0.04,0.072,10.95,1.685,9.6
1987-11-15,73.15,0.12,0.5,9.5,274.0,0.8,7.65,0.045,0.078,11.05,1.55,7.2
1987-12-15,61.333,0.29,,11.667,321.0,0.873,7.6,0.07,0.089,12.467,0.667,3.9
1988-01-15,82.0,0.44,1.0,13.0,275.0,0.6,7.4,0.065,0.15,12.0,3.0,3.85
1988-02-15,8.0,0.26,3.15,21.0,409.0,0.9,7.95,0.115,0.14,13.25,2.75,3.15
1988-03-15,77.5,0.48,0.75,16.0,256.5,1.05,7.35,0.05,0.1,14.55,2.8,3.15
1988-04-15,44.3,0.075,1.2,6.5,228.5,0.85,7.85,0.025,0.04,13.5,4.4,6.5
1988-05-15,44.0,0.115,1.0,6.5,226.0,0.65,8.45,0.02,0.035,12.75,2.15,7.25
1988-06-15,28.567,0.093,0.9,4.333,230.0,0.567,8.5,0.03,0.043,11.367,1.533,9.667
1988-07-15,506.35,0.07,0.85,5.5,201.0,0.65,7.7,0.05,0.2,10.25,2.85,12.75
1988-08-15,64.15,0.09,1.3,7.5,311.5,0.75,8.25,0.04,0.07,10.3,2.65,13.55
1988-09-15,50.0,0.11,0.6,7.0,251.0,0.8,8.05,0.035,0.08,10.8,1.5,10.55
1988-10-15,27.7,0.18,1.1,11.0,291.5,0.8,8.2,0.07,0.155,10.8,2.05,10.75
1988-11-15,19.667,0.14,3.2,10.0,281.0,0.767,8.267,0.057,0.2,12.0,2.9,4.467
1988-12-15,2.35,0.16,2.7,9.0,303.0,0.8,8.35,0.03,0.06,12.45,,4.5
1989-01-15,39.5,0.42,1.35,10.5,367.5,0.85,8.15,0.032,0.08,13.45,1.65,2.75
1989-02-15,61.5,0.37,0.8,9.0,287.5,1.05,8.0,0.048,0.137,13.15,3.15,3.6
