Date,Air Temperature,Relative Humidity (x100%),Precipitation (mm),Radiation (W/m²),River Discharge (m³/s)
15/02/1980,-0.23,0.75,0.506,264.87,62.045
15/03/1980,0.995,0.787,0.367,366.124,33.888
15/04/1980,1.909,0.825,0.886,450.331,53.813
15/05/1980,6.576,0.774,0.308,555.343,43.928
15/06/1980,10.48,0.803,0.994,548.504,47.616
15/07/1980,11.61,0.815,0.973,510.704,76.282
15/08/1980,14.489,0.793,0.547,596.088,23.03
15/09/1980,11.594,0.787,0.359,491.318,28.496
15/10/1980,5.904,0.79,0.592,236.19,30.388
15/11/1980,0.783,0.771,0.308,136.114,21.116
15/12/1980,-4.069,0.792,0.516,110.843,19.18
15/01/1981,-5.394,0.804,0.804,141.346,16.151
15/02/1981,-4.886,0.763,0.349,269.135,13.424
15/03/1981,3.288,0.761,0.595,370.36,64.482
15/04/1981,6.283,0.731,0.22,580.086,71.782
15/05/1981,8.624,0.76,0.627,559.676,35.909
15/06/1981,12.219,0.748,0.394,604.389,18.915
15/07/1981,12.512,0.795,1.062,569.204,52.113
15/08/1981,13.735,0.779,0.413,591.969,24.38
15/09/1981,11.075,0.823,0.878,369.527,37.312
15/10/1981,6.275,0.784,1.162,257.24,83.239
15/11/1981,1.627,0.749,0.552,172.041,35.668
15/12/1981,-3.069,0.823,1.05,84.081,24.354
15/01/1982,-1.943,0.794,0.961,133.476,34.972
15/02/1982,-2.896,0.78,0.086,262.898,21.513
15/03/1982,-0.033,0.777,0.44,415.448,26.116
15/04/1982,2.965,0.749,0.329,549.438,73.316
15/05/1982,8.803,0.733,0.416,677.148,83.485
15/06/1982,13.028,0.77,1.01,614.116,58.973
15/07/1982,15.633,0.751,0.472,658.323,27.569
15/08/1982,13.203,0.816,0.731,515.219,32.909
15/09/1982,12.99,0.793,0.323,481.567,28.034
15/10/1982,6.755,0.782,0.394,282.33,28.951
15/11/1982,3.777,0.732,0.293,179.703,17.556
15/12/1982,-1.098,0.806,0.569,111.507,28.46
15/01/1983,0.294,0.759,0.766,139.994,43.796
15/02/1983,-5.343,0.764,0.343,248.987,29.209
15/03/1983,1.574,0.741,0.38,382.008,25.659
15/04/1983,6.194,0.721,0.53,481.287,58.326
15/05/1983,7.458,0.751,0.679,558.535,45.73
15/06/1983,12.903,0.742,0.794,650.873,39.721
15/07/1983,17.906,0.663,0.217,781.467,23.085
15/08/1983,13.802,0.801,0.732,533.746,21.359
15/09/1983,10.933,0.777,0.675,444.049,38.415
15/10/1983,7.128,0.751,0.386,323.454,27.093
15/11/1983,1.23,0.747,0.601,190.214,24.394
15/12/1983,-2.276,0.761,0.405,143.633,33.291
15/01/1984,-1.905,0.786,0.602,116.583,27.207
15/02/1984,-4.84,0.817,0.556,239.729,20.084
15/03/1984,-1.944,0.744,0.236,470.21,19.059
15/04/1984,3.394,0.73,0.275,556.383,41.717
15/05/1984,6.507,0.781,0.481,504.982,47.773
15/06/1984,11.313,0.75,0.728,649.471,43.991
15/07/1984,13.695,0.743,0.54,651.186,36.961
15/08/1984,12.995,0.806,0.621,537.367,29.765
15/09/1984,9.001,0.831,1.228,370.671,77.241
15/10/1984,7.886,0.73,0.181,314.919,31.902
15/11/1984,4.755,0.698,0.315,179.643,16.143
15/12/1984,-1.179,0.815,0.323,114.543,18.176
15/01/1985,-8.245,0.805,0.332,126.91,15.545
15/02/1985,-3.442,0.776,0.671,255.09,42.254
15/03/1985,-0.372,0.741,0.271,373.824,17.591
15/04/1985,4.688,0.7,0.707,522.26,42.593
15/05/1985,9.131,0.75,0.652,595.625,72.585
15/06/1985,10.408,0.774,0.847,593.545,45.235
15/07/1985,14.84,0.759,0.481,709.893,24.421
15/08/1985,13.25,0.789,0.965,624.023,51.136
15/09/1985,11.775,0.768,0.256,500.59,28.829
15/10/1985,6.968,0.774,0.107,325.708,13.246
15/11/1985,-1.67,0.808,0.572,137.128,17.883
15/12/1985,1.199,0.731,0.19,131.65,19.473
15/01/1986,-2.721,0.822,1.019,114.388,32.206
15/02/1986,-8.611,0.816,0.148,241.619,15.069
15/03/1986,0.556,0.77,0.383,396.972,27.78
15/04/1986,3.749,0.782,0.646,434.511,59.727
15/05/1986,10.92,0.769,0.743,589.985,60.309
15/06/1986,12.087,0.764,0.62,671.792,57.026
15/07/1986,13.336,0.788,0.706,628.072,34.334
15/08/1986,13.421,0.814,0.789,557.904,36.194
15/09/1986,10.475,0.807,0.131,447.115,22.121
15/10/1986,8.207,0.778,0.442,321.195,17.795
15/11/1986,3.472,0.738,0.231,186.938,19.416
15/12/1986,-1.078,0.782,0.682,109.534,19.519
15/01/1987,-7.424,0.828,0.442,131.319,27.303
15/02/1987,-1.57,0.808,0.466,214.45,20.741
15/03/1987,-3.584,0.797,0.557,363.763,34.359
15/04/1987,6.113,0.699,0.431,562.381,66.896
15/05/1987,5.686,0.81,0.741,514.386,56.615
15/06/1987,10.76,0.802,0.905,526.78,70.091
15/07/1987,14.539,0.813,0.917,594.014,45.167
15/08/1987,13.154,0.809,0.586,510.234,54.726
15/09/1987,13.554,0.761,0.614,445.159,31.473
15/10/1987,8.745,0.762,0.135,275.298,18.431
15/11/1987,2.392,0.804,0.587,145.243,28.438
15/12/1987,-0.175,0.784,0.466,111.239,45.337
15/01/1988,1.268,0.762,0.438,140.564,23.714
15/02/1988,-2.219,0.773,0.595,215.001,22.222
15/03/1988,-1.082,0.83,1.329,286.249,56.907
15/04/1988,5.586,0.742,0.389,565.067,86.226
15/05/1988,10.285,0.754,0.465,595.863,49.846
15/06/1988,11.516,0.785,0.595,591.711,37.898
15/07/1988,14.417,0.752,0.676,673.716,26.921
15/08/1988,13.892,0.809,0.773,552.551,32.267
15/09/1988,10.7,0.819,0.351,406.053,35.763
15/10/1988,8.789,0.795,0.387,252.676,23.004
15/11/1988,0.358,0.793,0.421,171.954,21.69
15/12/1988,-0.946,0.848,0.834,93.177,52.172
15/01/1989,-0.914,0.734,0.154,187.827,22.614
15/02/1989,0.985,0.749,0.449,239.947,20.449
15/03/1989,4.352,0.718,0.316,428.856,30.331
15/04/1989,5.068,0.785,0.505,407.284,40.092
15/05/1989,9.484,0.743,0.292,664.476,23.643
15/06/1989,10.882,0.759,0.526,597.486,18.676
15/07/1989,14.571,0.795,0.795,545.495,33.881
15/08/1989,13.747,0.793,0.649,569.954,39.993
15/09/1989,10.481,0.849,0.57,380.278,33.212
15/10/1989,7.881,0.746,0.523,328.482,39.857
15/11/1989,0.687,0.761,0.261,193.359,24.822
15/12/1989,-0.255,0.709,0.375,137.582,23.327
15/01/1990,-1.318,0.699,0.211,174.294,17.156
15/02/1990,3.284,0.708,1.132,255.393,59.313
15/03/1990,3.837,0.712,0.354,415.994,38.462
15/04/1990,3.856,0.8,0.488,436.644,30.645
15/05/1990,10.366,0.731,0.391,680.292,29.831
15/06/1990,11.48,0.8,0.906,568.659,47.199
