YY MM DD HH 11502 10304 20203
1980 2 1 0 18.45236 10.30126 21.10287
1980 2 1 3 62.36614 13.97442 28.77518
1980 2 1 6 71.99277 12.94895 25.64141
1980 2 1 9 65.04876 13.52236 25.51578
1980 2 1 12 57.93638 14.28971 25.40595
1980 2 1 15 56.17491 16.44304 25.30808
1980 2 1 18 63.09617 19.3241 25.23838
1980 2 1 21 85.16328 22.83301 25.20756
1980 2 2 0 101.56691 26.56957 25.28081
1980 2 2 3 109.79943 30.18696 25.61117
1980 2 2 6 111.74893 33.47957 26.08645
1980 2 2 9 110.80603 36.64561 26.42183
1980 2 2 12 108.20393 39.86333 26.60867
1980 2 2 15 105.47157 43.27502 26.77426
1980 2 2 18 103.61581 46.69323 27.05458
1980 2 2 21 101.62478 50.02995 27.54963
1980 2 3 0 99.09384 53.24553 28.21068
1980 2 3 3 97.28863 56.5171 29.02642
1980 2 3 6 95.70963 59.65235 29.78309
1980 2 3 9 94.05326 62.56466 30.43985
1980 2 3 12 92.48263 65.23015 30.96969
1980 2 3 15 91.74704 67.69543 31.62659
1980 2 3 18 94.05975 70.12745 32.64866
1980 2 3 21 98.129 72.12645 33.433
1980 2 4 0 99.24363 73.8424 34.05437
1980 2 4 3 98.54298 75.39551 34.64085
1980 2 4 6 98.78058 76.7687 35.66613
1980 2 4 9 98.10815 77.93211 37.58208
1980 2 4 12 96.72446 79.23176 41.51092
1980 2 4 15 98.72205 80.74519 43.79026
1980 2 4 18 104.82622 82.82239 44.91646
1980 2 4 21 113.11427 84.75824 45.39854
1980 2 5 0 119.52517 85.89749 45.1033
1980 2 5 3 122.62095 86.85656 44.522
1980 2 5 6 120.10247 88.33144 44.16768
1980 2 5 9 114.74158 89.29783 44.38523
1980 2 5 12 111.22614 89.8778 44.7709
1980 2 5 15 111.42644 90.33628 45.63824
1980 2 5 18 113.9345 90.55256 46.73399
1980 2 5 21 116.32743 90.42664 48.70754
1980 2 6 0 116.29107 89.86237 50.64019
1980 2 6 3 112.99012 89.10931 52.80149
1980 2 6 6 107.45501 88.29807 54.02312
1980 2 6 9 99.00148 87.47349 54.57109
1980 2 6 12 90.62232 86.67372 54.40329
1980 2 6 15 84.81368 86.08422 54.059
1980 2 6 18 82.18818 85.57139 53.50722
1980 2 6 21 80.8876 84.81918 52.59705
1980 2 7 0 79.33428 84.01212 51.5807
1980 2 7 3 77.69559 83.21553 50.65674
1980 2 7 6 76.18849 82.41603 49.89632
1980 2 7 9 74.32751 81.64693 49.25388
1980 2 7 12 72.50601 80.88458 48.75334
1980 2 7 15 71.33216 80.26619 48.24264
1980 2 7 18 70.85232 79.72441 47.72351
1980 2 7 21 70.58416 79.02626 47.21536
1980 2 8 0 70.21986 78.30563 46.69793
1980 2 8 3 69.60574 77.60363 46.14862
1980 2 8 6 69.01748 76.91786 45.60519
1980 2 8 9 68.34271 76.24439 45.02981
1980 2 8 12 67.45002 75.59173 44.40633
1980 2 8 15 66.74495 75.01773 43.74309
1980 2 8 18 66.17567 74.52173 42.98711
1980 2 8 21 65.88107 73.89508 42.20091
1980 2 9 0 65.54033 73.26894 41.41063
1980 2 9 3 65.08567 72.66161 40.63937
1980 2 9 6 64.66829 72.06082 39.93205
1980 2 9 9 64.21638 71.47146 39.28026
1980 2 9 12 63.74657 70.96455 38.69996
1980 2 9 15 63.3185 70.96648 38.15897
1980 2 9 18 63.33901 70.95422 37.66691
1980 2 9 21 64.80119 70.66164 37.17408
1980 2 10 0 66.1974 70.18724 36.70782
1980 2 10 3 66.33341 69.5793 36.26506
1980 2 10 6 65.91666 68.93891 35.86632
1980 2 10 9 65.0318 68.29203 35.50953
1980 2 10 12 63.69682 67.7271 35.19438
1980 2 10 15 62.52635 67.42225 34.88462
1980 2 10 18 62.04229 67.26536 34.5935
1980 2 10 21 63.1081 67.3859 34.32591
1980 2 11 0 66.40387 67.90645 34.08017
1980 2 11 3 69.53541 67.69373 33.8465
1980 2 11 6 70.77762 67.26759 33.62823
1980 2 11 9 70.48716 66.62891 33.43812
1980 2 11 12 68.87187 66.0453 33.26703
1980 2 11 15 66.72704 65.62333 33.1399
1980 2 11 18 65.08444 65.03715 33.06141
1980 2 11 21 63.86309 64.31757 33.02666
1980 2 12 0 62.99601 63.58368 33.05329
1980 2 12 3 62.34487 62.8798 33.10117
1980 2 12 6 61.49156 62.21312 33.16187
1980 2 12 9 60.67302 61.57066 33.21191
1980 2 12 12 59.95828 60.95902 33.22516
1980 2 12 15 59.32956 60.43576 33.2062
1980 2 12 18 58.85356 59.89001 33.12676
1980 2 12 21 58.62001 59.34279 32.99822
1980 2 13 0 58.34175 58.79891 32.83668
1980 2 13 3 58.06148 58.2802 32.63914
1980 2 13 6 57.81647 57.77443 32.44146
1980 2 13 9 57.5954 57.28682 32.22295
1980 2 13 12 57.39987 56.80831 32.01073
1980 2 13 15 57.22611 56.3474 31.80734
1980 2 13 18 57.01806 55.90533 31.59197
1980 2 13 21 56.84189 55.49207 31.39656
1980 2 14 0 56.63822 55.08067 31.18692
1980 2 14 3 56.4496 54.68776 30.98181
1980 2 14 6 56.27084 54.2956 30.78678
1980 2 14 9 56.12255 53.91452 30.59599
1980 2 14 12 55.95669 53.5342 30.40998
1980 2 14 15 55.76623 53.17182 30.22833
1980 2 14 18 55.59907 52.86541 30.07807
1980 2 14 21 55.98959 52.53552 29.91426
1980 2 15 0 56.18818 52.1794 29.75494
1980 2 15 3 56.03418 51.82926 29.60177
1980 2 15 6 55.78007 51.4762 29.45411
1980 2 15 9 55.47425 51.13101 29.30792
1980 2 15 12 55.11752 50.79294 29.1632
1980 2 15 15 54.72685 50.5211 29.02289
1980 2 15 18 54.38651 50.27255 28.88575
1980 2 15 21 54.27132 49.9512 28.76328
1980 2 16 0 54.22613 49.61889 28.64643
1980 2 16 3 54.05694 49.28859 28.53214
1980 2 16 6 53.86037 48.95692 28.43743
1980 2 16 9 53.60636 48.63051 28.37871
1980 2 16 12 53.34511 48.31625 28.35369
1980 2 16 15 53.07151 48.75478 28.34693
1980 2 16 18 52.83538 49.36028 28.35248
1980 2 16 21 52.75464 49.29474 28.37093
1980 2 17 0 53.6181 48.94399 28.39273
1980 2 17 3 54.485 48.50989 28.42079
1980 2 17 6 54.75407 48.04547 28.4333
1980 2 17 9 54.50837 47.61005 28.45041
1980 2 17 12 54.02622 47.21144 28.4268
1980 2 17 15 53.45264 46.94567 28.3941
1980 2 17 18 55.01277 46.60089 28.34023
1980 2 17 21 56.10235 46.21025 28.26029
1980 2 18 0 55.97094 45.82389 28.16362
1980 2 18 3 54.80912 45.45104 28.06092
1980 2 18 6 53.60294 45.10247 27.94243
1980 2 18 9 52.65478 44.76111 27.82469
1980 2 18 12 51.9019 44.43087 27.6989
1980 2 18 15 51.40871 44.10894 27.57272
1980 2 18 18 51.10036 43.82478 27.4569
1980 2 18 21 50.80132 43.51647 27.33541
1980 2 19 0 50.5293 43.2228 27.21983
1980 2 19 3 50.28357 42.92818 27.09989
1980 2 19 6 50.04958 42.64 26.97985
1980 2 19 9 49.84272 42.36359 26.86366
1980 2 19 12 49.67936 42.09174 26.74907
1980 2 19 15 49.53252 41.82658 26.6433
1980 2 19 18 49.38181 41.56582 26.53098
1980 2 19 21 49.20559 41.31016 26.42882
1980 2 20 0 49.05528 41.06286 26.31567
1980 2 20 3 48.9335 40.809 26.21088
1980 2 20 6 48.81696 40.56427 26.10417
1980 2 20 9 48.68564 40.31899 25.99955
1980 2 20 12 48.56362 40.07693 25.89412
1980 2 20 15 48.41717 39.83942 25.79899
1980 2 20 18 48.26529 39.60308 25.70725
1980 2 20 21 48.09029 39.37098 25.61323
1980 2 21 0 47.95237 39.14272 25.51874
1980 2 21 3 47.8276 38.91295 25.43539
1980 2 21 6 47.71598 38.68951 25.35686
1980 2 21 9 47.58809 38.46914 25.27381
1980 2 21 12 47.46596 38.24801 25.19495
1980 2 21 15 47.31802 38.0508 25.1167
1980 2 21 18 47.17387 37.92254 25.03004
1980 2 21 21 47.07573 37.71044 24.94429
1980 2 22 0 46.9533 37.49519 24.84804
1980 2 22 3 46.81276 37.28166 24.75178
1980 2 22 6 46.67126 37.0747 24.67725
1980 2 22 9 46.54793 36.86456 24.6005
1980 2 22 12 46.40388 36.65807 24.53062
1980 2 22 15 46.25708 36.48763 24.45528
1980 2 22 18 46.0889 36.41293 24.37565
1980 2 22 21 45.89789 36.19873 24.30346
1980 2 23 0 45.74569 35.98747 24.22269
1980 2 23 3 45.64634 35.77986 24.13972
1980 2 23 6 45.54128 35.57718 24.05469
1980 2 23 9 45.43791 35.37742 23.98203
1980 2 23 12 45.32624 35.18876 23.9039
1980 2 23 15 45.21253 35.11999 23.84358
1980 2 23 18 45.07778 35.06562 23.76729
1980 2 23 21 44.97409 34.88494 23.70005
1980 2 24 0 44.90534 34.67815 23.62809
1980 2 24 3 44.8204 34.4752 23.55162
1980 2 24 6 44.70425 34.27397 23.48442
1980 2 24 9 44.56057 34.07423 23.41244
1980 2 24 12 44.41363 34.01406 23.34831
1980 2 24 15 44.25635 34.32408 23.28506
1980 2 24 18 44.32438 34.74019 23.22799
1980 2 24 21 45.17245 34.82491 23.16508
1980 2 25 0 47.03195 34.7124 23.09282
1980 2 25 3 47.68819 34.49934 23.02463
1980 2 25 6 47.34512 34.23321 22.96419
1980 2 25 9 46.6469 33.93308 22.9073
1980 2 25 12 45.6166 33.64885 22.85346
1980 2 25 15 44.81806 33.61424 22.78532
1980 2 25 18 44.04314 33.5489 22.72031
1980 2 25 21 43.68094 33.37369 22.65675
1980 2 26 0 43.93916 33.15046 22.58782
1980 2 26 3 44.15653 32.91663 22.52812
1980 2 26 6 43.98992 32.6505 22.46335
1980 2 26 9 43.779 32.39141 22.40892
