YY MM DD HH 11502 10304 20203
1980 2 1 0 0 0 0
1980 2 1 3 0 0 0
1980 2 1 6 0.05394591097308489 0 0.002
1980 2 1 9 20.487861801242236 41.585 24.411
1980 2 1 12 233.11800232919256 417.554 416.857
1980 2 1 15 361.3935000000001 622.751 546.313
1980 2 1 18 74.39861801242236 129.524 53.48
1980 2 1 21 0 0 0
1980 2 2 0 0 0 0
1980 2 2 3 0 0 0
1980 2 2 6 0 0 0
1980 2 2 9 31.820819875776397 54.61 30.746
1980 2 2 12 204.16506107660456 295.946 229.258
1980 2 2 15 355.5907867494824 635.062 254.726
1980 2 2 18 101.28154037267082 143.257 48.917
1980 2 2 21 0 0 0
1980 2 3 0 0 0 0
1980 2 3 3 0 0 0
1980 2 3 6 0 0 0
1980 2 3 9 32.53441123188406 42.828 31.61
1980 2 3 12 330.90038302277435 423.067 344.273
1980 2 3 15 391.62691873706007 526.799 299.598
1980 2 3 18 81.63663923395445 162.54 51.568
1980 2 3 21 0 0 0
1980 2 4 0 0 0 0
1980 2 4 3 0 0 0
1980 2 4 6 0 0 0
1980 2 4 9 57.01769384057972 18.604 29.804
1980 2 4 12 267.7079658385093 257.22 237.787
1980 2 4 15 334.0772704451346 500.137 257.895
1980 2 4 18 50.909084368530024 73.655 56.198
1980 2 4 21 0 0 0
1980 2 5 0 0 0 0
1980 2 5 3 0 0 0
1980 2 5 6 0 0 0
1980 2 5 9 56.8253897515528 58.283 40.295
1980 2 5 12 472.7238242753624 501.439 306.578
1980 2 5 15 416.31248110766046 592.749 369.34
1980 2 5 18 61.957929606625264 153.016 58.998
1980 2 5 21 0 0 0
1980 2 6 0 0 0 0
1980 2 6 3 0 0 0
1980 2 6 6 3.053618530020704 0 0
1980 2 6 9 180.63868504140788 112.267 34.309
1980 2 6 12 714.4245755693582 1034.761 336.256
1980 2 6 15 693.2455377846792 909.248 290.75
1980 2 6 18 119.55185093167704 163.169 56.343
1980 2 6 21 0 0 0
1980 2 7 0 0 0 0
1980 2 7 3 0 0 0
1980 2 7 6 0 0 0
1980 2 7 9 17.680643633540374 61.23 33.359
1980 2 7 12 346.07975439958597 452.182 278.127
1980 2 7 15 307.58155745341617 574.393 359.065
1980 2 7 18 76.00706340579711 150.829 62.503
1980 2 7 21 0 0 0
1980 2 8 0 0 0 0
1980 2 8 3 0 0 0
1980 2 8 6 0 0 0
1980 2 8 9 98.84758876811594 58.406 43.835
1980 2 8 12 819.1583819875776 683.856 268.708
