YY MM DD HH 11502 10304 20203
1980 2 1 0 0 0 0
1980 2 1 3 0.2394047619047619 1.318 0.965
1980 2 1 6 3.2241030020703936 0 5.225
1980 2 1 9 1.9014567805383022 0.142 1.633
1980 2 1 12 0.2157129917184265 0.133 0.092
1980 2 1 15 0.003131469979296066 0.091 0.136
1980 2 1 18 0.03618167701863354 1.37 0.444
1980 2 1 21 0.24561361283643893 1.253 1.018
1980 2 2 0 0.08707841614906832 0.782 1.123
1980 2 2 3 0.826643115942029 0.002 0.075
1980 2 2 6 4.793022515527951 0.002 0.038
1980 2 2 9 1.6208876811594204 1.182 2.985
1980 2 2 12 1.9460600414078677 1.339 2.444
1980 2 2 15 1.578871635610766 0.182 1.086
1980 2 2 18 0.47384523809523815 0.001 2.348
1980 2 2 21 0.2921863354037267 0.001 1.214
1980 2 3 0 0.9971881469979296 0.27 1.336
1980 2 3 3 0.6474697204968944 0.541 0.504
1980 2 3 6 0.4757833850931677 0.185 0.283
1980 2 3 9 1.6539200310559006 1.226 2.081
1980 2 3 12 3.383049689440994 2.206 2.275
1980 2 3 15 4.000620082815735 2.026 1.368
1980 2 3 18 2.7772148033126296 0.863 1.015
1980 2 3 21 1.487753364389234 2.279 0.839
1980 2 4 0 3.615765786749482 2.323 1.74
1980 2 4 3 2.118258540372671 2.789 5.533
1980 2 4 6 1.3552976190476191 4.062 1.304
1980 2 4 9 3.0410802277432714 1.178 0.245
1980 2 4 12 5.026123706004141 2.021 0.691
1980 2 4 15 5.10885248447205 3.564 2.339
1980 2 4 18 4.278944099378883 6.534 2.013
1980 2 4 21 4.9553649068322985 6.737 0.514
1980 2 5 0 3.69285533126294 3.03 1.841
1980 2 5 3 1.7822991718426502 4.685 0.936
1980 2 5 6 3.0600465838509314 7.266 1.371
1980 2 5 9 3.360376035196688 1.899 0.508
1980 2 5 12 2.208187370600414 0.33 1.345
1980 2 5 15 1.5061922877846792 0.291 1.907
1980 2 5 18 1.6962067805383023 1.214 2.415
1980 2 5 21 0.5871402691511387 0.329 0.315
1980 2 6 0 0.7135618530020704 0.066 0.124
1980 2 6 3 0.94553933747412 0.09 0.432
1980 2 6 6 0.1644241718426501 0.11 0.705
1980 2 6 9 1.0951640786749484 0.453 0.489
1980 2 6 12 1.8197877846790893 0.525 0.333
1980 2 6 15 0.007686335403726709 0.036 0.035
1980 2 6 18 0.0017080745341614906 0.036 0.683
1980 2 6 21 0.06339906832298137 0 1.126
1980 2 7 0 0 0.036 0.188
1980 2 7 3 0.013163302277432712 0 0.638
1980 2 7 6 0.11162292960662526 0.036 0.302
1980 2 7 9 1.5623444616977227 0.026 0.477
1980 2 7 12 1.6780934265010352 0.067 0.551
1980 2 7 15 0.16399741200828158 0.005 0.344
1980 2 7 18 0.7770610766045548 0.062 0.307
1980 2 7 21 1.6216260351966876 0.013 0.223
1980 2 8 0 0.1985861801242236 0 0.132
1980 2 8 3 0.26198809523809524 0 0.065
1980 2 8 6 0.10910196687370602 0 0.035
1980 2 8 9 0 0 0
1980 2 8 12 0 0 0.008
1980 2 8 15 0 0 0.005
1980 2 8 18 0 0 0.002
1980 2 8 21 0 0 0
1980 2 9 0 0 0 0.002
1980 2 9 3 0 0 0
1980 2 9 6 0 0 0.002
1980 2 9 9 0 0 0
1980 2 9 12 0 0 0
1980 2 9 15 0 0 0
1980 2 9 18 0 0 0
1980 2 9 21 0 0 0
1980 2 10 0 0 0 0
1980 2 10 3 0 0 0
1980 2 10 6 0 0 0
1980 2 10 9 0.06152898550724638 0 0.242
1980 2 10 12 0.5121715838509318 0.103 0.619
1980 2 10 15 2.2497543995859215 0.271 0.151
1980 2 10 18 4.031604037267081 0.517 0.046
