YY MM DD HH 11502 10304 20203
1980 2 1 0 0.01 0.01 0.01
1980 2 1 3 0.8475331262939959 0.908 0.826
1980 2 1 6 0.8282833850931678 0.93 0.858
1980 2 1 9 0.8507531055900621 0.934 0.952
1980 2 1 12 0.8678884575569359 0.912 0.872
1980 2 1 15 0.8468222049689441 0.868 0.821
1980 2 1 18 0.8494407349896481 0.88 0.88
1980 2 1 21 0.769598861283644 0.88 0.872
1980 2 2 0 0.7242192028985507 0.72 0.859
1980 2 2 3 0.740214026915114 0.755 0.918
1980 2 2 6 0.7902233436853002 0.734 0.942
1980 2 2 9 0.8078447204968944 0.721 0.914
1980 2 2 12 0.7415209627329193 0.633 0.945
1980 2 2 15 0.7086539855072465 0.488 0.921
1980 2 2 18 0.7158969979296067 0.579 0.954
1980 2 2 21 0.6832745859213251 0.743 0.954
1980 2 3 0 0.8395548654244308 0.908 0.894
1980 2 3 3 0.8686407867494824 0.952 0.819
1980 2 3 6 0.8921821946169772 0.958 0.869
1980 2 3 9 0.8693061594202899 0.867 0.875
1980 2 3 12 0.7515530538302277 0.795 0.808
1980 2 3 15 0.7189619565217391 0.643 0.788
1980 2 3 18 0.7956343167701864 0.834 0.879
1980 2 3 21 0.8389360766045549 0.924 0.93
1980 2 4 0 0.9188698240165633 0.935 0.948
1980 2 4 3 0.9297412008281575 0.944 0.946
1980 2 4 6 0.9069138198757765 0.942 0.919
1980 2 4 9 0.8595846273291926 0.942 0.871
1980 2 4 12 0.8161762422360248 0.88 0.859
1980 2 4 15 0.7997202380952382 0.816 0.826
1980 2 4 18 0.8568374741200828 0.906 0.854
1980 2 4 21 0.9090760869565218 0.936 0.907
1980 2 5 0 0.9015284679089027 0.932 0.957
1980 2 5 3 0.8979780020703935 0.94 0.965
1980 2 5 6 0.8777924430641822 0.939 0.966
1980 2 5 9 0.8434249482401657 0.941 0.906
1980 2 5 12 0.6798897515527951 0.836 0.848
1980 2 5 15 0.6066878881987577 0.718 0.742
1980 2 5 18 0.7519127846790891 0.797 0.882
1980 2 5 21 0.8847512939958593 0.876 0.923
1980 2 6 0 0.7943946687370601 0.69 0.842
1980 2 6 3 0.8042743271221533 0.719 0.855
1980 2 6 6 0.7574298654244307 0.881 0.894
1980 2 6 9 0.7769466873706005 0.842 0.892
1980 2 6 12 0.6540794513457557 0.671 0.855
1980 2 6 15 0.5983315217391304 0.618 0.824
1980 2 6 18 0.730610248447205 0.774 0.865
1980 2 6 21 0.8462487060041408 0.845 0.92
1980 2 7 0 0.8685753105590063 0.889 0.924
1980 2 7 3 0.8854109730848863 0.907 0.956
1980 2 7 6 0.9067256728778469 0.911 0.962
1980 2 7 9 0.8884446169772257 0.908 0.973
1980 2 7 12 0.8347556935817806 0.712 0.961
1980 2 7 15 0.8126193064182196 0.617 0.898
1980 2 7 18 0.8913985507246378 0.756 0.937
1980 2 7 21 0.8970934265010353 0.832 0.954
1980 2 8 0 0.8360077639751553 0.836 0.955
1980 2 8 3 0.8450926501035197 0.861 0.93
1980 2 8 6 0.8877536231884059 0.864 0.927
1980 2 8 9 0.8553936335403727 0.837 0.931
1980 2 8 12 0.7566979813664597 0.618 0.921
1980 2 8 15 0.6119945652173914 0.526 0.895
1980 2 8 18 0.719883281573499 0.751 0.913
1980 2 8 21 0.8674381469979296 0.837 0.958
1980 2 9 0 0.75 0.718 0.9
1980 2 9 3 0.7600432194616977 0.774 0.938
1980 2 9 6 0.7491361283643893 0.703 0.889
1980 2 9 9 0.727847049689441 0.684 0.9
1980 2 9 12 0.5535551242236025 0.517 0.857
1980 2 9 15 0.3643015010351967 0.418 0.708
1980 2 9 18 0.557110248447205 0.494 0.758
1980 2 9 21 0.6837719979296067 0.566 0.852
1980 2 10 0 0.7955175983436853 0.71 0.916
1980 2 10 3 0.8084358178053831 0.809 0.93
1980 2 10 6 0.8020383022774328 0.875 0.935
1980 2 10 9 0.77939259834368535 0.83 0.95
1980 2 10 12 0.6394821428571429 0.667 0.926
1980 2 10 15 0.5766092132505177 0.531 0.896
1980 2 10 18 0.7349930124223603 0.657 0.902
1980 2 10 21 0.8433284161490683 0.702 0.923
1980 2 11 0 0.8537859730848861 0.761 0.926
1980 2 11 3 0.8866526915113873 0.828 0.91
1980 2 11 6 0.9050760869565218 0.82 0.914
1980 2 11 9 0.9187981366459628 0.959 0.885
1980 2 11 12 0.8720898033126294 0.916 0.865
1980 2 11 15 0.7988064182194617 0.855 0.772
1980 2 11 18 0.8713646480331263 0.876 0.848
1980 2 11 21 0.8876475155279503 0.903 0.903
1980 2 12 0 0.8891213768115942 0.728 0.934
1980 2 12 3 0.8794632505175984 0.828 0.92
1980 2 12 6 0.8866143892339545 0.847 0.925
1980 2 12 9 0.8979645445134575 0.866 0.917
1980 2 12 12 0.8119396997929607 0.797 0.837
1980 2 12 15 0.725092132505176 0.703 0.796
1980 2 12 18 0.7305489130434784 0.878 0.853
1980 2 12 21 0.8693416149068324 0.878 0.911
1980 2 13 0 0.7344021739130435 0.845 0.896
1980 2 13 3 0.7045825569358178 0.812 0.922
1980 2 13 6 0.8447675983436853 0.79 0.931
1980 2 13 9 0.8267347308488613 0.664 0.936
1980 2 13 12 0.5766268115942029 0.527 0.893
1980 2 13 15 0.6484635093167702 0.425 0.722
1980 2 13 18 0.7513760351966874 0.548 0.694
1980 2 13 21 0.7307305900621118 0.637 0.763
1980 2 14 0 0.8629813664596273 0.778 0.851
1980 2 14 3 0.8592761387163562 0.736 0.884
1980 2 14 6 0.859347049689441 0.84 0.912
1980 2 14 9 0.7682481884057971 0.75 0.919
1980 2 14 12 0.6330007763975155 0.507 0.823
1980 2 14 15 0.6256366459627329 0.607 0.706
1980 2 14 18 0.7013703416149069 0.718 0.654
1980 2 14 21 0.7698214285714285 0.823 0.803
1980 2 15 0 0.8682877846790891 0.702 0.926
1980 2 15 3 0.8515119047619047 0.73 0.961
1980 2 15 6 0.8532717391304347 0.746 0.947
1980 2 15 9 0.8277034161490684 0.703 0.945
1980 2 15 12 0.6745590062111801 0.553 0.911
1980 2 15 15 0.48275543478260874 0.409 0.819
1980 2 15 18 0.5907311076604556 0.631 0.88
1980 2 15 21 0.8148990683229813 0.731 0.893
1980 2 16 0 0.8047342132505176 0.87 0.953
1980 2 16 3 0.8014262422360249 0.925 0.951
1980 2 16 6 0.765430900621118 0.895 0.951
1980 2 16 9 0.6628781055900622 0.854 0.959
1980 2 16 12 0.7186216356107661 0.514 0.957
1980 2 16 15 0.6349870600414078 0.502 0.954
1980 2 16 18 0.6780564182194617 0.68 0.925
1980 2 16 21 0.7711591614906832 0.802 0.948
1980 2 17 0 0.8937958074534161 0.967 0.914
1980 2 17 3 0.9301855590062112 0.965 0.918
1980 2 17 6 0.9501454451345757 0.967 0.918
1980 2 17 9 0.9500315734989648 0.967 0.887
1980 2 17 12 0.8860476190476191 0.904 0.761
1980 2 17 15 0.8377709627329193 0.886 0.691
1980 2 17 18 0.9491288819875777 0.949 0.715
1980 2 17 21 0.9506149068322982 0.961 0.743
1980 2 18 0 0.8966671842650104 0.764 0.796
1980 2 18 3 0.8794699792960663 0.781 0.847
1980 2 18 6 0.8844365942028987 0.827 0.847
1980 2 18 9 0.8787950310559006 0.797 0.844
1980 2 18 12 0.8443162525879918 0.748 0.692
1980 2 18 15 0.727967132505176 0.676 0.635
1980 2 18 18 0.7684166666666666 0.783 0.661
1980 2 18 21 0.8273514492753624 0.775 0.729
1980 2 19 0 0.774736801242236 0.684 0.851
1980 2 19 3 0.8011770186335404 0.653 0.86
1980 2 19 6 0.818769927536232 0.678 0.9
1980 2 19 9 0.7854417701863354 0.664 0.903
1980 2 19 12 0.6435561594202899 0.489 0.655
1980 2 19 15 0.5078975155279503 0.414 0.602
1980 2 19 18 0.6519924948240166 0.54 0.583
1980 2 19 21 0.7758863871635611 0.569 0.783
1980 2 20 0 0.7574469461697723 0.529 0.845
1980 2 20 3 0.7622181677018635 0.514 0.899
1980 2 20 6 0.7583359213250519 0.545 0.898
1980 2 20 9 0.7059583333333334 0.487 0.887
1980 2 20 12 0.4467512939958593 0.341 0.655
1980 2 20 15 0.3386599378881988 0.326 0.526
1980 2 20 18 0.5233131469979296 0.453 0.562
1980 2 20 21 0.7064748964803313 0.607 0.77
1980 2 21 0 0.7461858178053831 0.735 0.89
1980 2 21 3 0.7272393892339545 0.701 0.915
1980 2 21 6 0.7281293995859214 0.648 0.898
1980 2 21 9 0.6992639751552796 0.61 0.884
1980 2 21 12 0.41416692546583855 0.39 0.593
1980 2 21 15 0.27896454451345754 0.337 0.329
1980 2 21 18 0.46857608695652175 0.431 0.343
1980 2 21 21 0.6981664078674948 0.526 0.711
1980 2 22 0 0.7190173395445134 0.572 0.802
1980 2 22 3 0.7202217908902693 0.553 0.88
1980 2 22 6 0.708858695652174 0.538 0.878
